%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1521561294629556381,74812,1521561294668797736,imu_link,-0.0785784465384,-0.0470907632191,-0.850171912624,0.515204326055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00034567883304,-0.00104951006662,-0.000238709544651,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82203023907,-0.0329092766963,9.80456601325,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294641292435,74813,1521561294681797736,imu_link,-0.0785633154573,-0.0471924585985,-0.849503085949,0.516306452901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000571196999006,-0.000795967172714,-0.000439617207193,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81706226476,-0.0317650265878,9.80345490659,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294659182694,74814,1521561294694797736,imu_link,-0.0785280182545,-0.047310027378,-0.848858442858,0.517362780765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000751611534468,-0.000593132854562,-0.000600343339622,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81308788525,-0.0308496264874,9.80256602124,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294665444044,74815,1521561294707797736,imu_link,-0.0784738083718,-0.0470899967508,-0.848921961697,0.517277275726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000363829768878,-0.000111597490343,-0.0011546154114,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.8041622911,-0.0401729532189,9.79323579509,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294683027139,74816,1521561294720797736,imu_link,-0.078541181978,-0.0468383946023,-0.849010049471,0.517145369903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000904985748306,0.000380053597754,-0.0004273836785,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81330238356,-0.0543353793878,9.8034885943,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294696997339,74817,1521561294733797736,imu_link,-0.0786787027372,-0.0465740578898,-0.849108454435,0.516986842287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013379105383,0.000773374474093,0.000154401716492,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82061445763,-0.0656653204918,9.81169083379,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294713199664,74818,1521561294746797736,imu_link,-0.0787157638122,-0.0464058459759,-0.849232075913,0.516793117549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00115213716561,0.00119445378457,-0.000337974148083,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81449310803,-0.0531814587304,9.80292974928,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294719321602,74819,1521561294759797736,imu_link,-0.0788179369008,-0.0463068465898,-0.849416206364,0.516484019254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00121636367468,0.000679935934578,-0.000625452240896,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82731312772,-0.0527711757412,9.7992728561,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294731285235,74820,1521561294772797736,imu_link,-0.0789547543603,-0.0462463706201,-0.849630168131,0.516116365746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00126774488269,0.000268321648452,-0.000855434718573,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.83756914363,-0.0524429493449,9.79634734151,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294743344747,74821,1521561294785797736,imu_link,-0.0790625383149,-0.0461044699127,-0.849739371954,0.515932609235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000989582035574,0.000151875517209,-0.000932997353683,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.82326845821,-0.0622360151398,9.7925703148,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294755305180,74822,1521561294798797736,imu_link,-0.0791269893178,-0.0458823821315,-0.849717990433,0.515977641085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000767051754561,5.87186108265e-05,-0.000995047462695,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81182790971,-0.0700704678925,9.78954869338,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294779238763,74823,1521561294811797736,imu_link,-0.0790962771563,-0.0458327294969,-0.849359371896,0.51657800048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00080187273653,-0.000228652217955,-0.000938264945928,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81033692079,-0.0581420963476,9.7943140898,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
1521561294785282611,74824,1521561294824797736,imu_link,-0.0790452785018,-0.0460022375922,-0.848710390235,0.517641142761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00136184291863,-3.28581861437e-05,-0.000999261536554,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,0.0,0.0,0.0,1.21846781553e-07,1.81680556774,-0.0471628793253,9.80291480581,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06,0.0,0.0,0.0,8.66124810273e-06
